saddr,daddr,sport
185.81.78.203,,smtp25
185.142.11.173,,smtp25
185.142.11.179,,smtp25
80.209.255.23,,smtp25
185.142.11.76,,smtp25
80.209.255.108,,smtp25
185.81.76.126,,smtp25
185.142.11.138,,smtp25
185.142.11.163,,smtp25
185.81.79.28,,smtp25
185.142.11.75,,smtp25
185.142.11.178,,smtp25
185.142.11.71,,smtp25
185.81.78.217,,smtp25
185.142.11.74,,smtp25
185.81.79.45,,smtp25
185.142.11.177,,smtp25
185.142.11.175,,smtp25
185.142.11.174,,smtp25
195.181.255.101,,554
185.81.79.113,,554
185.81.79.58,,554
185.81.78.112,,554
185.81.79.104,,554
195.181.255.242,,554
80.209.255.98,,554
185.81.76.126,,554
95.214.110.11,,554
185.81.76.120,,http80
212.237.255.85,,http80
185.81.78.245,,http80
80.209.255.98,,http80
212.237.255.22,,http80
80.209.255.118,,http80
195.181.255.103,,http80
185.81.76.203,,http80
185.81.78.82,,http80
212.237.255.139,,http80
80.209.255.122,,http80
80.209.255.236,,http80
195.181.255.218,,http80
195.181.255.84,,http80
212.237.255.75,,http80
185.81.76.143,,http80
185.81.76.135,,http80
185.81.76.217,,http80
95.214.109.52,,http80
185.81.76.85,,http80
80.209.255.140,,http80
212.237.255.42,,http80
185.81.79.138,,http80
185.81.76.254,,http80
185.81.79.252,,http80
95.214.109.37,,http80
185.81.76.227,,http80
185.81.77.151,,http80
212.237.255.186,,http80
80.209.255.72,,http80
195.181.255.140,,http80
80.209.255.132,,http80
195.181.255.164,,http80
80.209.255.52,,http80
185.81.76.24,,http80
185.142.11.4,,http80
185.81.77.63,,http80
212.237.255.232,,http80
80.209.255.112,,http80
185.142.11.36,,http80
185.81.77.191,,http80
80.209.255.74,,http80
95.214.109.13,,http80
195.181.255.123,,http80
185.81.76.81,,http80
185.81.78.104,,http80
195.181.255.78,,http80
212.237.255.58,,http80
80.209.255.80,,http80
195.181.255.24,,http80
185.81.77.194,,http80
185.81.78.120,,http80
185.81.77.255,,http80
185.81.76.88,,http80
185.142.11.71,,http80
80.209.255.83,,http80
80.209.255.162,,http80
195.181.255.240,,http80
195.181.255.182,,http80
80.209.255.14,,http80
185.81.78.47,,http80
212.237.255.154,,http80
185.81.76.139,,http80
212.237.255.111,,http80
185.81.76.58,,http80
185.81.78.170,,http80
80.209.255.21,,http80
80.209.255.208,,http80
195.181.255.9,,http80
185.81.78.49,,http80
95.214.108.64,,http80
185.81.77.177,,http80
185.142.11.100,,http80
185.142.11.139,,http80
185.81.76.113,,http80
185.81.77.102,,http80
185.81.76.73,,http80
185.81.79.190,,http80
80.209.255.63,,http80
195.181.255.248,,http80
185.81.77.229,,http80
195.181.255.228,,http80
80.209.255.128,,http80
80.209.255.2,,http80
185.81.77.43,,http80
185.142.11.136,,http80
185.81.77.61,,http80
212.237.255.103,,http80
185.81.78.127,,http80
185.81.77.60,,http80
195.181.255.167,,http80
185.81.77.96,,http80
80.209.255.152,,http80
185.81.77.67,,http80
80.209.255.131,,http80
80.209.255.89,,http80
185.81.76.228,,http80
195.181.255.187,,http80
185.142.11.172,,http80
