saddr,daddr,sport
185.81.79.252,192.168.211.122,80
185.142.8.21,192.168.211.122,80
185.142.9.37,192.168.211.122,80
195.181.255.153,192.168.211.122,80
80.209.255.53,192.168.211.122,80
80.209.255.72,192.168.211.122,80
185.81.76.117,192.168.211.122,80
185.81.76.212,192.168.211.122,80
185.142.10.110,192.168.211.122,80
95.214.110.131,192.168.211.122,80
185.81.78.59,192.168.211.122,80
212.237.255.40,192.168.211.122,80
185.142.10.176,192.168.211.122,80
80.209.255.204,192.168.211.122,80
185.81.78.25,192.168.211.122,80
185.142.9.3,192.168.211.122,80
185.81.77.163,192.168.211.122,80
95.214.108.17,192.168.211.122,80
95.214.108.20,192.168.211.122,80
195.181.255.30,192.168.211.122,80
185.142.8.197,192.168.211.122,80
95.214.109.155,192.168.211.122,80
195.181.255.141,192.168.211.122,80
95.214.110.169,192.168.211.122,80
185.81.77.124,192.168.211.122,80
185.81.77.3,192.168.211.122,80
80.209.255.101,192.168.211.122,80
95.214.110.142,192.168.211.122,80
212.237.255.148,192.168.211.122,80
185.81.79.110,192.168.211.122,80
185.81.78.115,192.168.211.122,80
185.81.78.198,192.168.211.122,80
185.142.11.9,192.168.211.122,80
185.81.78.42,192.168.211.122,80
95.214.111.58,192.168.211.122,80
95.214.110.80,192.168.211.122,80
185.142.9.160,192.168.211.122,80
195.181.255.144,192.168.211.122,80
185.81.77.5,192.168.211.122,80
195.181.255.184,192.168.211.122,80
185.142.8.66,192.168.211.122,80
95.214.111.139,192.168.211.122,80
185.81.77.221,192.168.211.122,80
95.214.111.32,192.168.211.122,80
185.142.10.177,192.168.211.122,80
185.142.9.54,192.168.211.122,80
95.214.111.204,192.168.211.122,80
185.81.77.108,192.168.211.122,80
95.214.110.211,192.168.211.122,80
95.214.109.89,192.168.211.122,80
80.209.255.133,192.168.211.122,80
185.81.77.219,192.168.211.122,80
95.214.111.73,192.168.211.122,80
185.81.77.140,192.168.211.122,80
185.81.79.255,192.168.211.122,80
185.81.76.3,192.168.211.122,80
212.237.255.236,192.168.211.122,80
185.142.9.206,192.168.211.122,80
185.142.11.147,192.168.211.122,80
185.81.77.31,192.168.211.122,80
95.214.110.177,192.168.211.122,80
185.81.76.218,192.168.211.122,80
80.209.255.180,192.168.211.122,80
185.81.77.248,192.168.211.122,80
212.237.255.242,192.168.211.122,80
185.81.77.210,192.168.211.122,80
95.214.111.176,192.168.211.122,80
