saddr,daddr,sport
185.81.76.126,192.168.88.240,554
195.181.255.4,192.168.88.240,554
185.81.76.129,192.168.88.240,554
185.81.76.251,192.168.88.240,554
185.81.76.86,192.168.88.240,554
185.81.79.175,192.168.88.240,554
185.81.76.123,192.168.88.240,554
185.81.79.156,192.168.88.240,554
185.81.77.155,192.168.88.240,554
185.81.79.155,192.168.88.240,554
185.81.78.147,192.168.88.240,554
185.81.78.112,192.168.88.240,554
185.81.77.166,192.168.88.240,554
185.81.79.169,192.168.88.240,554
185.81.79.162,192.168.88.240,554
185.81.76.61,192.168.88.240,554
185.81.76.3,192.168.88.240,554
185.81.77.221,192.168.88.240,554
185.81.79.107,192.168.88.240,554
185.81.79.58,192.168.88.240,554
185.81.79.185,192.168.88.240,554
212.237.255.34,192.168.88.240,554
195.181.255.120,192.168.88.240,554
80.209.255.98,192.168.88.240,554
185.81.76.34,192.168.88.240,554
185.81.76.250,192.168.88.240,554
185.81.77.2,192.168.88.240,554
185.81.78.4,192.168.88.240,554
185.81.76.109,192.168.88.240,554
185.81.77.77,192.168.88.240,554
185.81.77.26,192.168.88.240,554
185.81.76.92,192.168.88.240,554
185.81.79.225,192.168.88.240,554
185.81.76.16,192.168.88.240,554
185.81.77.105,192.168.88.240,554
185.81.77.156,192.168.88.240,554
185.81.79.190,192.168.88.240,554
195.181.255.101,192.168.88.240,554
185.81.78.102,192.168.88.240,554
185.81.76.4,192.168.88.240,554
185.81.79.173,192.168.88.240,554
185.81.79.174,192.168.88.240,554
185.81.76.133,192.168.88.240,554
185.81.76.97,192.168.88.240,554
185.81.77.35,192.168.88.240,554
185.81.76.67,192.168.88.240,554
212.237.255.3,192.168.88.240,554
212.237.255.166,192.168.88.240,554
185.142.11.74,192.168.88.240,554
185.81.78.213,192.168.88.240,554
185.81.76.253,192.168.88.240,554
185.81.77.75,192.168.88.240,554
185.81.77.165,192.168.88.240,554
185.81.78.176,192.168.88.240,554
185.81.78.226,192.168.88.240,554
185.81.77.152,192.168.88.240,554
185.81.76.250,192.168.88.240,8443
185.81.76.92,192.168.88.240,8443
185.81.76.86,192.168.88.240,8443
185.81.76.126,192.168.88.240,8443
185.81.76.3,192.168.88.240,8443
212.237.255.34,192.168.88.240,8443
185.81.77.221,192.168.88.240,8443
185.81.79.156,192.168.88.240,8443
185.81.76.34,192.168.88.240,8443
185.81.79.185,192.168.88.240,8443
185.81.79.107,192.168.88.240,8443
185.81.76.97,192.168.88.240,8443
185.81.79.190,192.168.88.240,8443
185.81.78.147,192.168.88.240,8443
185.81.79.169,192.168.88.240,8443
185.81.79.155,192.168.88.240,8443
185.81.76.2,192.168.88.240,8443
185.81.79.252,192.168.88.240,8443
185.81.78.7,192.168.88.240,8443
185.81.76.129,192.168.88.240,8443
212.237.255.6,192.168.88.240,8443
185.81.79.162,192.168.88.240,8443
185.81.78.102,192.168.88.240,8443
185.81.77.156,192.168.88.240,8443
185.81.77.77,192.168.88.240,8443
185.81.76.61,192.168.88.240,8443
185.81.79.200,192.168.88.240,8443
185.81.78.44,192.168.88.240,8443
185.81.76.109,192.168.88.240,8443
185.81.77.2,192.168.88.240,8443
185.81.77.166,192.168.88.240,8443
185.81.79.13,192.168.88.240,8443
185.81.79.168,192.168.88.240,8443
185.81.77.105,192.168.88.240,8443
185.81.77.111,192.168.88.240,8443
185.81.76.123,192.168.88.240,8443
185.81.77.35,192.168.88.240,8443
185.81.76.16,192.168.88.240,8443
185.81.79.174,192.168.88.240,8443
195.181.255.109,192.168.88.240,8443
185.81.78.4,192.168.88.240,8443
185.81.76.133,192.168.88.240,8443
185.81.76.67,192.168.88.240,8443
185.142.11.72,192.168.88.240,8443
185.142.11.149,192.168.88.240,8443
185.142.11.153,192.168.88.240,8443
185.81.78.226,192.168.88.240,8443
185.142.11.155,192.168.88.240,8443
185.142.11.75,192.168.88.240,8443
185.142.11.151,192.168.88.240,8443
185.142.11.150,192.168.88.240,8443
212.237.255.21,192.168.88.240,8443
95.214.109.114,192.168.88.240,8443
185.81.78.213,192.168.88.240,8443
185.81.78.155,192.168.88.240,8443
185.142.11.154,192.168.88.240,8443
212.237.255.166,192.168.88.240,8443
212.237.255.3,192.168.88.240,8443
185.142.11.139,192.168.88.240,8443
185.142.11.187,192.168.88.240,8443
185.142.11.146,192.168.88.240,8443
185.142.11.142,192.168.88.240,8443
185.142.11.74,192.168.88.240,8443
212.237.255.18,192.168.88.240,8443
185.81.78.176,192.168.88.240,8443
185.81.76.253,192.168.88.240,8443
185.81.77.165,192.168.88.240,8443
195.181.255.163,192.168.88.240,8443
185.81.77.2,192.168.88.240,25
185.81.78.7,192.168.88.240,25
185.81.78.102,192.168.88.240,25
195.181.255.109,192.168.88.240,25
185.81.79.168,192.168.88.240,25
185.81.76.109,192.168.88.240,25
185.81.79.225,192.168.88.240,25
185.81.77.105,192.168.88.240,25
185.81.78.44,192.168.88.240,25
185.81.79.28,192.168.88.240,25
185.81.77.26,192.168.88.240,25
185.81.76.97,192.168.88.240,25
95.214.109.114,192.168.88.240,25
185.81.77.156,192.168.88.240,25
95.214.109.131,192.168.88.240,25
185.81.77.164,192.168.88.240,25
195.181.255.137,192.168.88.240,25
185.81.76.61,192.168.88.240,25
185.81.79.252,192.168.88.240,25
212.237.255.6,192.168.88.240,25
185.81.79.214,192.168.88.240,25
185.81.79.174,192.168.88.240,25
185.81.76.34,192.168.88.240,25
212.237.255.3,192.168.88.240,25
80.209.255.108,192.168.88.240,25
185.81.76.133,192.168.88.240,25
185.81.79.173,192.168.88.240,25
195.181.255.4,192.168.88.240,25
185.81.78.4,192.168.88.240,25
185.81.79.13,192.168.88.240,25
185.81.78.22,192.168.88.240,25
185.81.76.2,192.168.88.240,25
185.81.79.194,192.168.88.240,25
185.81.76.129,192.168.88.240,25
185.81.76.4,192.168.88.240,25
185.81.76.16,192.168.88.240,25
185.81.79.175,192.168.88.240,25
185.81.79.190,192.168.88.240,25
80.209.255.23,192.168.88.240,25
185.81.78.147,192.168.88.240,25
185.81.79.200,192.168.88.240,25
185.81.76.123,192.168.88.240,25
185.81.76.3,192.168.88.240,25
185.81.79.169,192.168.88.240,25
185.81.77.133,192.168.88.240,25
185.81.77.77,192.168.88.240,25
185.81.79.156,192.168.88.240,25
185.81.78.217,192.168.88.240,25
185.81.79.107,192.168.88.240,25
195.181.255.163,192.168.88.240,25
212.237.255.21,192.168.88.240,25
185.81.77.155,192.168.88.240,25
185.142.11.71,192.168.88.240,25
185.142.11.174,192.168.88.240,25
185.142.11.75,192.168.88.240,25
185.142.11.138,192.168.88.240,25
212.237.255.18,192.168.88.240,25
185.142.11.76,192.168.88.240,25
185.142.11.187,192.168.88.240,25
185.142.11.175,192.168.88.240,25
185.142.11.179,192.168.88.240,25
185.142.11.163,192.168.88.240,25
185.142.11.178,192.168.88.240,25
185.81.77.152,192.168.88.240,25
185.142.11.74,192.168.88.240,25
185.81.78.226,192.168.88.240,25
185.81.78.176,192.168.88.240,25
185.81.78.155,192.168.88.240,25
185.81.77.75,192.168.88.240,25
195.181.255.137,192.168.88.240,8080
185.81.79.174,192.168.88.240,8080
185.81.77.111,192.168.88.240,8080
185.81.78.22,192.168.88.240,8080
185.81.79.252,192.168.88.240,8080
185.81.77.2,192.168.88.240,8080
185.81.79.225,192.168.88.240,8080
185.81.79.168,192.168.88.240,8080
185.81.77.133,192.168.88.240,8080
95.214.109.131,192.168.88.240,8080
212.237.255.3,192.168.88.240,8080
