saddr,daddr,sport
195.181.255.14,192.168.88.240,80
212.237.255.175,192.168.88.240,80
185.81.78.61,192.168.88.240,80
185.81.76.216,192.168.88.240,80
212.237.255.71,192.168.88.240,80
185.81.76.74,192.168.88.240,80
185.81.78.177,192.168.88.240,80
195.181.255.143,192.168.88.240,80
185.81.76.24,192.168.88.240,80
185.81.78.94,192.168.88.240,80
185.81.79.45,192.168.88.240,80
185.81.77.169,192.168.88.240,80
195.181.255.203,192.168.88.240,80
185.81.77.217,192.168.88.240,80
185.81.76.58,192.168.88.240,80
195.181.255.167,192.168.88.240,80
80.209.255.120,192.168.88.240,80
185.81.79.51,192.168.88.240,80
185.81.76.251,192.168.88.240,80
80.209.255.55,192.168.88.240,80
185.81.76.118,192.168.88.240,80
185.81.76.250,192.168.88.240,80
212.237.255.106,192.168.88.240,80
185.81.76.184,192.168.88.240,80
185.81.78.234,192.168.88.240,80
212.237.255.133,192.168.88.240,80
80.209.255.111,192.168.88.240,80
185.81.76.89,192.168.88.240,80
80.209.255.200,192.168.88.240,80
185.81.77.236,192.168.88.240,80
185.81.79.225,192.168.88.240,80
185.81.78.102,192.168.88.240,80
185.81.76.86,192.168.88.240,80
185.81.77.155,192.168.88.240,80
195.181.255.255,192.168.88.240,80
185.81.77.26,192.168.88.240,80
195.181.255.105,192.168.88.240,80
185.81.76.194,192.168.88.240,80
185.81.77.187,192.168.88.240,80
195.181.255.210,192.168.88.240,80
80.209.255.237,192.168.88.240,80
80.209.255.91,192.168.88.240,80
212.237.255.58,192.168.88.240,80
80.209.255.86,192.168.88.240,80
185.81.77.179,192.168.88.240,80
185.81.77.151,192.168.88.240,80
195.181.255.187,192.168.88.240,80
80.209.255.165,192.168.88.240,80
80.209.255.240,192.168.88.240,80
185.81.79.190,192.168.88.240,80
185.81.78.104,192.168.88.240,80
95.214.109.175,192.168.88.240,80
80.209.255.192,192.168.88.240,80
185.81.79.175,192.168.88.240,80
195.181.255.243,192.168.88.240,80
185.81.77.247,192.168.88.240,80
195.181.255.125,192.168.88.240,80
80.209.255.30,192.168.88.240,80
212.237.255.163,192.168.88.240,80
95.214.109.210,192.168.88.240,80
212.237.255.164,192.168.88.240,80
212.237.255.249,192.168.88.240,80
212.237.255.2,192.168.88.240,80
80.209.255.97,192.168.88.240,80
212.237.255.110,192.168.88.240,80
195.181.255.104,192.168.88.240,80
80.209.255.148,192.168.88.240,80
195.181.255.244,192.168.88.240,80
195.181.255.221,192.168.88.240,80
80.209.255.89,192.168.88.240,80
195.181.255.102,192.168.88.240,80
195.181.255.240,192.168.88.240,80
80.209.255.215,192.168.88.240,80
80.209.255.114,192.168.88.240,80
212.237.255.232,192.168.88.240,80
185.81.79.46,192.168.88.240,80
185.81.77.183,192.168.88.240,80
80.209.255.142,192.168.88.240,80
195.181.255.111,192.168.88.240,80
95.214.109.245,192.168.88.240,80
212.237.255.207,192.168.88.240,80
185.81.77.2,192.168.88.240,80
185.81.78.98,192.168.88.240,80
195.181.255.139,192.168.88.240,80
195.181.255.83,192.168.88.240,80
80.209.255.147,192.168.88.240,80
185.81.77.224,192.168.88.240,80
185.81.77.238,192.168.88.240,80
80.209.255.77,192.168.88.240,80
185.81.79.28,192.168.88.240,80
80.209.255.63,192.168.88.240,80
185.81.77.241,192.168.88.240,80
195.181.255.78,192.168.88.240,80
80.209.255.127,192.168.88.240,80
80.209.255.173,192.168.88.240,80
212.237.255.56,192.168.88.240,80
80.209.255.81,192.168.88.240,80
212.237.255.111,192.168.88.240,80
185.81.79.84,192.168.88.240,80
185.81.78.124,192.168.88.240,80
185.81.76.165,192.168.88.240,80
185.81.78.44,192.168.88.240,80
195.181.255.27,192.168.88.240,80
80.209.255.73,192.168.88.240,80
195.181.255.6,192.168.88.240,80
80.209.255.48,192.168.88.240,80
185.81.79.99,192.168.88.240,80
80.209.255.178,192.168.88.240,80
195.181.255.191,192.168.88.240,80
80.209.255.204,192.168.88.240,80
185.81.76.147,192.168.88.240,80
80.209.255.10,192.168.88.240,80
